20150522,2090 파워루테인,"1. 직사광선을 피해 서늘한 곳에 보관하시고, 어린이의 손이 닿지 않는 곳에 보관하십시오.
2. 제품 개봉 후에는 흡습이 일어날 수 있으니 반드시 밀봉하여 보관하십시오.","[루테인 제품]노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줌
[비타민A]①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요
[비타민B2]①체내 에너지 생성에 필요
[비타민E]①유해산소로부터 세포를 보호하는데 필요
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[셀레늄(또는 셀렌)]①유해산소로부터 세포를 보호하는데 필요","1) 성상: 이미, 이취가 없고 고유의 향미가 있는 주황색의 내용물을 함유한 흑갈색의 연질캡슐
2) 대장균군: 음성
3) 붕해도: 20분 이내
4) 납(mg/kg): 1.0이하
5) 카드뮴(mg/kg): 1.0이하
6) 총수은(mg/kg): 1.0이하
7) 총비소(mg/kg): 1.0이하
8) 헥산(mg/kg): 5.0이하
9) 초산에틸(mg/kg): 50.0이하
10) 루테인: 표시량(20mg/500mg)의 80~120%
11) 아연: 표시량(4.3mg/500mg)의 80~150%
12) 비타민E: 표시량(4mg α-TE/500mg)의 80~150%
13) 비타민B2: 표시량(0.48mg/500mg)의 80~180%
14) 비타민A: 표시량(600㎍RE/500mg)의 80~150%
15) 셀렌: 표시량(18㎍/500mg)의 80~150%","[루테인 제품]과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음.
1. 임신, 수유부나 의약품을 섭취하시는 분은 섭취 전 전문가와 상담하여 주십시오.
2. 특이체질, 알레르기체질인 경우에는 의사와 상담 후 섭취여부를 결정하십시오.
3. 섭취량 및 섭취방법을 확인한 후 섭취하십시오.
4. 섭취 전에 유통기한을 확인 후 섭취하십시오. 또한 유통기한이 경과한 제품은 섭취하지 마십시오.
5. 이상증상이 생길 경우 섭취를 중단하고, 전문의와 상담하시거나 고객상담실로 문의하시기 바랍니다.","1일 1회, 1회 1캡슐을 물과 함께 섭취하십시오.",20070017035536,제조일로부터24개월,168,"5g(500mg X 10캡슐), 15g(500mg X 30캡슐), 30g(500mg X 60캡슐), 45g(500mg X 90캡슐), 60g(500mg X 120캡슐), 90g(500mg X 180캡슐), 105g(500mg X 210캡슐), 150g(500mg X 300캡슐), 180g(500mg X 360캡슐)",종근당건강,http://img.danawa.com/prod_img/500000/989/626/img/3626989_1.jpg?shrink=160:160&_v=20181106160049
20160902,365 눈 건강 루테인,"직사광선을 받지 아니하는 서늘한 곳에서 보관 및 유통하시고, 어린이의 손에 닿지 않도록 주의하시기 바랍니다.","①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요

①유해산소로부터 세포를 보호하는데 필요

①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요

노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줌","1) 성상 : 적색의 내용물을 함유한 검정색의 연질캡슐
2) 루테인 : 표시량의 80 ~ 120% (표시량 : 20 mg / 400 mg)
3) 비타민A : 표시량의 80 ~ 150% (표시량 : 700 ㎍RE / 400 mg)
4) 비타민E : 표시량의 80 ~ 150% (표시량 : 3.5 mgα-TE / 400 mg)
5) 베타카로틴 : 표시량의 80 ~ 150% (표시량 : 1.8 mg / 400 mg)
6) 헥산(mg/kg) : 5.0 이하
7) 납(mg/kg) : 1.0 이하
8) 카드뮴(mg/kg) : 1.0 이하
9) 총수은(mg/kg) : 1.0 이하
10) 총비소(mg/kg) : 1.0 이하
11) 대장균군 : 음성
12) 붕해 : 적합(20분 이내)",과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음,"1일 1회, 1회 1캡슐을 물과 함께 섭취하십시오.",200400200071695,제조일로부터 24개월까지,188,"400 mg × 10, 30, 45, 60, 90, 120, 150, 180, 210, 240, 300, 360, 420, 480, 540, 600캡슐",한미헬스케어,http://img.danawa.com/prod_img/500000/987/624/img/7624987_1.jpg?shrink=160:160&_v=20190403174130
20150522,JW중외파워루테인A,고온다습한 곳이나 직사광선을 피하여 서늘한 곳에 보관.,"[루테인 제품]노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줌
[비타민A]①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요","(1) 성상 : 적갈색의 내용물을 함유한 적갈색의 연질캡슐제품으로 이미, 이취가 없다.
(2) 루테인: 표시량(20mg/500mg)의 80~120%
(3) 비타민A: 표시량(230μg RE/500mg)의 80~150%
(4) 중금속
 (가) 납(mg/kg) : 1.0이하
 (나) 카드뮴(mg/kg) : 1.0이하
 (다) 총수은(mg/kg) : 1.0이하
 (라) 총비소(mg/kg) : 1.0이하
(5) 헥산(mg/kg) : 5.0이하
(6) 대장균군 : 음성
(7) 붕해시험: 적합","[루테인 제품]과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음.
1) 알레르기 체질이신 분은 원재료를 확인 후 섭취하십시오.
2) 임산부는 섭취 전 의사와 상담이 필요합니다.","1일 1회, 1회 1캡슐을 충분한 물과 섭취.",20040015083520,제조일로부터 24개월까지,994,"500mg× 30캡슐(15g), 500mg× 60캡슐(30g), 500mg× 90캡슐(45g), 500mg× 120캡슐(60g), 500mg× 150캡슐(75g), 500mg x 180캡슐(90g), 500mg× 240캡슐(120g), 500mg x 360캡슐(180g) 등.",중외제약,http://img.danawa.com/prod_img/500000/327/296/img/6296327_1.jpg?shrink=160:160&_v=20190327101256
20150522,가네굿프리미엄,"연질캡슐은 수분, 열에 의한 영향에 민감하므로 인습되지 않게 밀봉하여 보관하며, 열원이나 직사광선을 피해 서늘한 곳(건냉암소)에 보관하십시오. (온도 30℃이상, 상대습도 75% 이상에서는 캡슐이 변형될 수 있습니다.)
  어린이의 손이 닿지 않는 곳에 보관하십시오.","[밀크씨슬추출물] 간 건강에 도움을 줄 수 있음
[비타민B1]①탄수화물과 에너지 대사에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B2]①체내 에너지 생성에 필요
[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[나이아신]①체내 에너지 생성에 필요
[비오틴]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[셀레늄(또는 셀렌)]①유해산소로부터 세포를 보호하는데 필요
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요","1.성상:이미.이취가 없고 고유의 향미를 지닌 갈색의 내용물을 함유한 장방형의 연질캡슐
2.실리마린:표시량(130mg/700mg)의 80~120%
3.비타민B1:표시량(1.5mg/700mg)의 80~180%
4.비타민B2:표시량(1.9mg/700mg)의 80~180%
5.비타민B6:표시량(2.4mg/700mg)의 80~150%
6.나이아신:표시량(11.0mgNE/700mg)의 80~150%
7.판토텐산:표시량(6.0mg/700mg)의 80~180%
8.아연:표시량(4.0mg/700mg)의 80~150%
9.셀레늄:표시량(17.0μg/700mg)의 80~150%
10.비오틴:표시량(46.0μg/700mg)의 80~180%
11.납:1.0이하(mg/kg)
12.총비소:1.0이하(mg/kg)
13.총수은:0.5이하(mg/kg)
14.카드뮴:0.5이하(mg/kg)
15.헥산:5.0이하(mg/kg)
16.초산에틸:50.0이하(mg/kg)
17.대장균군:음성
18.붕해:20분 이내","[밀크씨슬추출물]① 알레르기 반응이 나타나는 경우에는 섭취를 중단하십시오  ② 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취를 주의 하십시오
알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.
섭취시 위장장애, 소화불량 등의 이상증상이 있을 경우 섭취를 중단하십시오.
약물복용 중이거나 임산부, 수유부 여성은 섭취 전 약사 등의 전문가와 상의하십시오.","1일 1회, 1회 1캡슐을 물과 함께 섭취하십시오.",20040017006379,제조일로부터 24개월,1612,"700mg ×  10, 20, 30, 45, 60, 90, 100, 120, 150, 180, 200, 240, 250, 270, 300, 330, 360 캡슐 등",대웅생명과학,http://img.danawa.com/prod_img/500000/531/070/img/5070531_1.jpg?shrink=500:500&_v=20180327120815
20170928,가네파워,수분 및 열에 의해 품질에 영향을 받을 수 있으므로 직사광선을 피해 서늘한 곳에 보관하십시오. 어린이 손에 닿지 않는 곳에 보관하십시오.,"① 간 건강에 도움을 줄 수 있음

①탄수화물과 에너지 대사에 필요

①체내 에너지 생성에 필요

①정상적인 엽산 대사에 필요

①유해산소로부터 세포를 보호하는데 필요

①유해산소로부터 세포를 보호하는데 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

①정상적인 면역기능에 필요②정상적인 세포분열에 필요

①철의 운반과 이용에 필요②유해산소로부터 세포를 보호하는데 필요

①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요

①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요,밀크씨슬추출물 : 간 건강에 도움을 줄 수 있음.
비타민B1 : 탄수화물과 에너지 대사에 필요.
비타민B2 :  체내 에너지 생성에 필요.
비타민B12 : 정상적인 엽산 대사에 필요. 
비타민E : 유해산소로부터 세포를 보호하는데 필요.
셀렌 : 유해산소로부터 세포를 보호하는데 필요. 
비오틴 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요.
엽산 : 세포와 혈액생성에 필요, 태아 신경관의 정상 발달에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 
필요
아연 : 정상적인 면역기능에 필요, 정상적인 세포분열에 필요. 
구리 : 철의 운반과 이용에 필요, 유해산소로부터 세포를 보호하는데 필요. 
망간 : 뼈 형성에 필요, 에너지 이용에 필요, 유해산소로부터 세포를 보호하는데 필요.","1) 성상 : 고유의 색택과 향미를 가지고 이미, 이취가 없어야 한다.
2) 실리마린 : 표시량(130mg/800mg)의 80~120%
3) 비타민B1 : 표시량(3.6mg/800mg)의 80~180%
4) 비타민B2 : 표시량(4.2mg/800mg)의 80~180%
5) 비타민B12 : 표시량(40ug/800mg)의 80~180%
6) 비타민E : 표시량(11mg α-TE/800mg)의 80~150%
7) 셀렌 : 표시량(17.05ug/800mg)의 80~150% 
8) 비오틴 : 표시량(90ug/800mg)의 80~180%
9) 엽산 : 표시량(400ug/800mg)의 80~150%
10) 아연 : 표시량(3.995mg/800mg) 80~150%
11) 구리 : 표시량(0.8mg/800mg)의 80~150%
12) 망간 : 표시량(3mg/800mg)의 80~150%
13) 납(mg/kg) : 1.0 이하
14) 카드뮴(mg/kg) : 0.5 이하
15) 총수은(mg/kg) : 0.5 이하
16) 총비소(mg/kg) : 1.0 이하
17) 대장균군 : 음성
18) 붕해시험 : 20분 이내","① 알레르기 반응이 나타나는 경우에는 섭취 중단 ② 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의","1일 1회, 1회 1캡슐을 충분한 물과 함께 섭취하십시오.",200400200022077,제조일로부터 2년.,1617,"800mg*6, 10, 20, 30, 60, 90, 120, 150, 180, 210, 270, 360, 420, 480, 540, 600캡슐 등",대웅생명과학,http://img.danawa.com/prod_img/500000/721/559/img/6559721_1.jpg?shrink=500:500&_v=20181031170918
20180723,간건강 : 밀크씨슬 로사빈 (Liver Health : Milk Thistle Rosavin),1) 직사광선이나 고온 다습한 곳을 피하여 청결하고 서늘한 곳에 밀봉하여 보관 하십시오. 2) 영ㆍ유아 및 어린이의 손에 닿지 않는 곳에 보관하십시오. 3) 잘못된 사용 및 남용을 피하고 품질 보존을 위해 다른 용기에 넣지 마십시오.,"[밀크씨슬추출물]간 건강에 도움을 줄 수 있음
[홍경천추출물] 스트레스로 인한 피로 개선에 도움을 줄 수 있음","1) 성상 : 이미, 이취가 없고 고유의 향미가 있는 밝은 회황색의 정제
2) 실리마린 : 표시량(130mg/1400mg)의 80~120%
3) 로사빈 :  표시량(5mg/1400mg)의 80~120%
4) 납(mg/kg) : 1.0 이하
5) 카드뮴(mg/kg) : 0.5 이하
6) 총수은(mg/kg) : 0.5 이하
7) 총비소(mg/kg) : 1.0 이하
8) 대장균군 : 음성
9) 붕해 : 30분 이내","① 알레르기 반응이 나타나는 경우에는 섭취 중단 ② 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의","1일 1회, 1회 2정을 물과 함께 섭취하십시오. [700mgⅹ2정/day]",20040020004249,제조일로부터 24개월,1783,"700mg/2정, 1.4g(700mg x 2정), 9.8g(700mg x 14정), 14g(700mg x 20정), 42g(700mg x 60정), 210g(700mg x 300정), 252g(700mg x 360정), 294g(700mg x 420정), 336g(700mg x 480정), 378g(700mg x 540정), 420g(700mg x 600정), …",소버스,http://img.danawa.com/prod_img/500000/204/561/img/7561204_1.jpg?shrink=500:500&_v=20190327160251
20151124,간건강 밀크씨슬,"1. 직사광선을 피해 서늘한 곳에 보관하시고, 어린이의 손이 닿지 않는 곳에 보관하십시오.","[밀크씨슬추출물]① 간 건강에 도움을 줄 수 있음

[비타민B1]①탄수화물과 에너지 대사에 필요

[비타민B2]①체내 에너지 생성에 필요

[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B12]①정상적인 엽산 대사에 필요

[비타민C]①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요

[비타민E]①유해산소로부터 세포를 보호하는데 필요

[셀렌]①유해산소로부터 세포를 보호하는데 필요

[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요","1) 성상: 이미, 이취가 없고 고유의 향미가 있는 연한 황갈색의 내용물을 함유한 적갈색의 연질캡슐
2) 대장균군: 음성
3) 붕해도: 20분 이내
4) 실리마린: 표시량(130mg/1000mg)의 80~120%
5) 비타민B1: 표시량(1.20mg/1000mg)의 80~180%
6) 비타민B2: 표시량(2.1mg/1000mg)의 80~180%
7) 판토텐산: 표시량(5mg/1000mg)의 80~180%
8) 비타민B6: 표시량(1.5mg/1000mg)의 80~150%
9) 비타민B12: 표시량(2.4ug/1000mg)의 80~180%
10) 비타민C: 표시량(30mg/1000mg)의 80~150%
11) 비타민E: 표시량(3.35mg α-TE/1000mg)의 80~150%
12) 셀렌: 표시량(16.5ug/1000mg)의 80~150%
13) 아연: 표시량(8.5mg/1000mg)의 80~150%
14) 납(mg/kg): 1.0이하
15) 카드뮴(mg/kg): 0.5이하
16) 총수은(mg/kg): 0.5이하
17) 총비소(mg/kg): 1.0이하","① 알레르기 반응이 나타나는 경우에는 섭취 중단 ② 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의

1. 임신, 수유부나 의약품을 섭취하시는 분은 섭취 전 전문가와 상담하여 주십시오.
2. 특이체질, 알레르기체질인 경우에는 의사와 상담 후 섭취여부를 결정하십시오.
3. 섭취량 및 섭취방법을 확인한 후 섭취하십시오.
4. 섭취 전에 유통기한을 확인 후 섭취하십시오. 또한 유통기한이 경과한 제품은 섭취하지 마십시오.
5. 이상증상이 생길 경우 섭취를 중단하고, 전문의와 상담하시거나 고객상담실로 문의하시기 바랍니다.","1일 1회, 1회 1캡슐을 물과 함께 섭취하십시오.",20070017035761,제조일로부터24개월,1785,"1,000mg X 6, 10, 30, 60, 90, 120, 150, 180, 210, 240, 270, 360, 365, 450, 540, 630, 720, 810, 900캡슐",중외제약,http://img.danawa.com/prod_img/500000/824/124/img/3124824_1.jpg?shrink=500:500&_v=20180323175334
20150522,간건강 슈퍼케어,"고온다습, 직사광선을 피하여 건냉한 곳에 보관. 어린이 손이 닿지 않는 곳에 보관","[밀크씨슬(카르두스 마리아누스) 추출물 제품]① 간 건강에 도움을 줄 수 있음
[나이아신]①체내 에너지 생성에 필요
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B1]①탄수화물과 에너지 대사에 필요
[비타민B2]①체내 에너지 생성에 필요","① 성상 : 이미 이취가 없고, 고유의 향미가 있는 미황색의 제피정제
② 실리마린 : 표시량{130 mg / 600 mg(1정)}의 80%~120%
③ 비타민 B1 : 표시량{1.2 mg / 600 mg(1정)}의 80%~180%
④ 비타민 B2 : 표시량{1.4 mg / 600 mg(1정)}의 80%~180%
⑤ 비타민 B6 : 표시량{1.5 mg / 600 mg(1정)}의 80%~150%
⑥ 나이아신 : 표시량{15 mgNE / 600 mg(1정)}의 80%~150%
⑦ 아연 : 표시량{8.5 mg / 600 mg(1정)}의 80%~150%
⑧ 납(mg/kg) : 1.0 이하
⑨ 카드뮴(mg/kg) : 0.5 이하
⑩ 총수은(mg/kg) : 0.5 이하
⑪ 총비소(mg/kg) : 1.0 이하
⑫ 대장균군 : 음성
⑬ 붕해 : 60분이내","[밀크씨슬(카르두스 마리아누스) 추출물 제품]① 알레르기 반응이 나타나는 경우에는 섭취 중단 ② 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의
특이체질, 알레르기 체질이신 분은 원료성분을 확인 후 섭취하여 주십시오.","600 mg 제피정제를 1일 1회, 1정씩 충분한 물과 함께 섭취",20040017025366,제조일로부터 24개월,1792,"600mg × 30정, 60정, 120정, 180정, 240정, 300정, 360정 등",,http://img.danawa.com/prod_img/500000/534/606/img/8606534_1.jpg?shrink=500:500&_v=20190711165028
20180726,간에 좋은 밀크씨슬,"- 개봉 후에는 공기의 노출을 최대한 차단하여 보관하십시오.- 고온다습(30℃ 이상, 상대습도 75% 이상), 직사광선을 피하여 서늘한 곳에 보관하십시오.","① 간 건강에 도움을 줄 수 있음

①탄수화물과 에너지 대사에 필요

①체내 에너지 생성에 필요

①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

①체내 에너지 생성에 필요

①정상적인 면역기능에 필요②정상적인 세포분열에 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

①유해산소로부터 세포를 보호하는데 필요

①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요","① 성상 : 이미·이취가 없는 고유의 향미가 있는 회황색 제피정제 
② 실리마린 : 표시량 (130 mg/900 mg)의 80~120%
③ 비타민B1 : 표시량(1.2 mg/900 mg)의 80~180%
④ 비타민B2 : 표시량(1.4 mg/900 mg)의 80~180%
⑤ 비타민B6 : 표시량(1.5 mg/900 mg)의 80~150%
⑥ 나이아신 : 표시량(15 mgNE/900 mg)의 80~150%
⑦ 판토텐산 : 표시량(5 mg/900 mg)의 80~180%
⑧ 엽산 : 표시량(400 ㎍/900 mg)의 80~150%
⑨ 아연 : 표시량(8.5 mg/900 mg)의 80~150%
⑩ 셀렌 : 표시량(55 ㎍/900 mg)의 80~150%
⑪ 납(mg/kg) : 1.0 이하
⑫ 카드뮴(mg/kg) : 0.5 이하
⑬ 총수은(mg/kg) : 0.5 이하
⑭ 총비소(mg/kg) : 1.0 이하
⑮ 대장균군 : 음성
？ 붕해시험 : 적합(60분 이내)
？ 헥산(mg/kg): 5.0이하","- 유통기한을 확인하시기 바라며, 섭취량 및 섭취방법을 준수하시기 바랍니다.
- 특이체질, 알레르기 체질의 경우 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인한 후 섭취하십시오.
- 알레르기 반응이 나타나는 경우에는 섭취를 중단하시기 바랍니다.
- 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의하시기 바랍니다.","1일 1회, 1회 1정을 물과 함께 섭취하십시오.",20120019007257,제조일로부터 24개월까지,1831,"9 g(900mg x 10정), 18 g(900mg x 20정), 27 g(900mg x 30정), 54g(900mg x 60정), 81 g(900mg x 90정), 90 g(900mg x 100정), 108 g(900mg x 120정), 135g (900mg x 150정), 162g(900mg x 180정)",일양약품,http://img.danawa.com/prod_img/500000/147/474/img/9474147_1.jpg?shrink=500:500&_v=20190910141914
20161011,간에 좋은 밀크씨슬 골드,① 직사광선을 받지 않는 서늘한 곳에 보관하십시오.② 어린이의 손이 닿지 않는 곳에 보관하십시오.,"[밀크씨슬(카르두스마리나누스)추출물 제품]① 간 건강에 도움을 줄 수 있음

[비타민B1]①탄수화물과 에너지 대사에 필요

[비타민B2]①체내 에너지 생성에 필요

[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민E]①유해산소로부터 세포를 보호하는데 필요

[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요","①성상 : 이미, 이취가 없고 고유의 향미가 있는 황색의 제피정제
②실리마린 : 표시량(130mg/900mg)의 80 ~ 120% 
③비타민B1 : 표시량(1.8mg/900mg)의 80 ~ 180%
④비타민B2 : 표시향(1.4mg/900mg)의 80 ~ 180%
⑤비타민B6 : 표시량(1.5mg/900mg)의 80 ~ 150%
⑥비타민E : 표시량(3.6mg α-TE/900mg)의 80 ~ 150%
⑦아연 : 표시량(3.5mg/900mg)의 80 ~ 150%
⑧납(mg/kg) : 1.0이하
⑨총비소(mg/kg) : 1.0이하
⑩카드뮴(mg/kg) : 0.5이하
⑪총수은(mg/kg) : 0.5이하
⑫대장균군 : 음성
⑬붕해시험 : 물 60분 이내","① 알레르기 반응이 나타나는 경우에는 섭취 중단 ② 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의","1일 1회, 1회 1정을 물과 함께 섭취한다.",20040017021614,제조일로부터 24개월,1832,"900mg/정 : 10, 20, 30, 60, 90, 120, 150, 180, 240, 360정 등",녹십자웰빙,http://img.danawa.com/prod_img/500000/424/656/img/3656424_1.jpg?shrink=500:500&_v=20180529105450
